id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,game_id,min,oreb,pf,player_id,pts,reb,stl,team_id,turnover
14059599,3,0,3,0.45454547,11,5,0.4375,16,7,1.0,1,1,1037793,31,0,1,443,20,3,0,10,1
14059600,1,0,3,0.6666667,3,2,0.3,10,3,1.0,4,4,1037793,30,4,2,475,12,7,0,10,0
14059601,3,0,4,0.0,0,0,0.5,4,2,0.75,4,3,1037793,22,1,3,282,7,5,0,10,0
14059602,12,0,5,0.6,5,3,0.5714286,7,4,1.0,4,4,1037793,34,1,4,367,15,6,2,10,1
14059603,1,0,5,0.5555556,9,5,0.5714286,14,8,0.9166667,12,11,1037793,35,0,2,115,32,5,0,10,4
14059604,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,00,0,0,185,0,0,0,10,0
14059605,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,04,0,0,56677799,0,0,0,10,0
14059606,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,00,0,0,251,0,0,0,10,0
14059607,1,0,3,0.33333334,3,1,0.42857143,7,3,0.0,2,0,1037793,18,0,3,17553979,7,3,0,10,1
14059608,0,0,2,0.33333334,3,1,0.42857143,7,3,0.0,0,0,1037793,22,2,2,17553992,7,4,0,10,0
14059609,3,0,5,0.5,2,1,0.5,2,1,0.0,0,0,1037793,18,0,2,56677858,3,5,0,10,0
14059610,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,00,0,0,57875092,0,0,0,10,0
14059611,2,1,5,0.42857143,7,3,0.5,10,5,0.8333333,6,5,1037793,26,0,2,407,18,5,1,10,1
14059612,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,00,0,0,17896070,0,0,0,10,0
14059613,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,00,0,0,2189,0,0,0,10,0
14059614,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,00,0,0,45658838,0,0,0,10,0
14059615,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,00,0,0,398,0,0,0,10,0
14059616,2,0,2,0.4,5,2,0.46153846,13,6,1.0,2,2,1037793,31,2,5,66,16,4,0,11,1
14059617,2,2,7,0.2,5,1,0.5833333,12,7,1.0,2,2,1037793,32,2,4,38017684,17,9,1,11,2
14059618,5,1,6,0.6666667,3,2,0.5652174,23,13,0.4,5,2,1037793,37,7,4,17896062,30,13,1,11,3
14059619,2,0,3,0.22222222,9,2,0.4,15,6,1.0,2,2,1037793,24,0,3,17895966,16,3,0,11,1
14059620,14,0,5,0.125,8,1,0.23076923,13,3,1.0,3,3,1037793,41,0,2,458,10,5,0,11,0
14059621,0,0,4,0.0,2,0,0.0,2,0,0.0,0,0,1037793,08,1,0,75,0,5,0,11,0
14059622,1,0,0,0.33333334,3,1,0.25,4,1,1.0,2,2,1037793,14,1,0,188,5,1,0,11,0
14059623,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,00,0,0,3547281,0,0,0,11,0
14059599,3,0,3,0.45454547,11,5,0.4375,16,7,1.0,1,1,1037793,31,0,1,443,20,3,0,10,1
14059600,1,0,3,0.6666667,3,2,0.3,10,3,1.0,4,4,1037793,30,4,2,475,12,7,0,10,0
14059601,3,0,4,0.0,0,0,0.5,4,2,0.75,4,3,1037793,22,1,3,282,7,5,0,10,0
14059602,12,0,5,0.6,5,3,0.5714286,7,4,1.0,4,4,1037793,34,1,4,367,15,6,2,10,1
14059603,1,0,5,0.5555556,9,5,0.5714286,14,8,0.9166667,12,11,1037793,35,0,2,115,32,5,0,10,4
14059604,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,00,0,0,185,0,0,0,10,0
14059605,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,04,0,0,56677799,0,0,0,10,0
14059606,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,00,0,0,251,0,0,0,10,0
14059607,1,0,3,0.33333334,3,1,0.42857143,7,3,0.0,2,0,1037793,18,0,3,17553979,7,3,0,10,1
14059608,0,0,2,0.33333334,3,1,0.42857143,7,3,0.0,0,0,1037793,22,2,2,17553992,7,4,0,10,0
14059609,3,0,5,0.5,2,1,0.5,2,1,0.0,0,0,1037793,18,0,2,56677858,3,5,0,10,0
14059610,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,00,0,0,57875092,0,0,0,10,0
14059611,2,1,5,0.42857143,7,3,0.5,10,5,0.8333333,6,5,1037793,26,0,2,407,18,5,1,10,1
14059612,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,00,0,0,17896070,0,0,0,10,0
14059613,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,00,0,0,2189,0,0,0,10,0
14059614,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,00,0,0,45658838,0,0,0,10,0
14059615,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037793,00,0,0,398,0,0,0,10,0
14059616,2,0,2,0.4,5,2,0.46153846,13,6,1.0,2,2,1037793,31,2,5,66,16,4,0,11,1
